UP,Down,contronler,hard
0,0,contronler_1,hard_1
0,0,contronler_2,hard_1
0,0,contronler_3,hard_1
0,0,contronler_4,hard_1
0,0,contronler_5,hard_1
0,0,contronler_6,hard_1
0,0,contronler_7,hard_1
0,0,contronler_7,hard_1
0,0,contronler_8,hard_1
0,0,contronler_9,hard_1
0,0,contronler_10,hard_1
0,0,contronler_11,hard_1
0,0,contronler_12,hard_1
0,0,contronler_13,hard_1
0,0,contronler_14,hard_1
0,0,contronler_15,hard_1
0,0,contronler_16,hard_1
0,0,contronler_17,hard_1
0,0,contronler_18,hard_1
0,0,contronler_19,hard_1
0,0,contronler_20,hard_1
0,0,contronler_21,hard_1
0,0,contronler_22,hard_1
0,0,contronler_23,hard_1
0,0,contronler_24,hard_1
0,0,contronler_25,hard_1
0,0,contronler_25,hard_1
0,0,contronler_26,hard_1
0,0,contronler_26,hard_1
0,0,contronler_27,hard_1
0,0,contronler_28,hard_1
0,0,contronler_28,hard_1
0,0,contronler_29,hard_1
0,0,contronler_30,hard_1
0,0,contronler_31,hard_1
0,0,contronler_32,hard_1
0,0,contronler_33,hard_1
0,0,contronler_34,hard_1
0,0,contronler_34,hard_1
0,0,contronler_35,hard_1
0,0,contronler_36,hard_1
0,0,contronler_36,hard_1
0,0,contronler_37,hard_1
0,0,contronler_38,hard_1
0,0,contronler_39,hard_1
0,0,contronler_40,hard_1
0,0,contronler_41,hard_1
0,0,contronler_42,hard_1
0,0,contronler_42,hard_1
0,0,contronler_43,hard_1
0,0,contronler_44,hard_1
0,0,contronler_44,hard_1
0,0,contronler_45,hard_1
0,0,contronler_46,hard_1
0,0,contronler_46,hard_1
0,0,contronler_47,hard_1
0,0,contronler_48,hard_1
0,0,contronler_49,hard_1
0,0,contronler_50,hard_1
0,0,contronler_51,hard_1
0,0,contronler_51,hard_1
0,0,contronler_52,hard_1
0,0,contronler_53,hard_1
0,0,contronler_54,hard_1
0,0,contronler_55,hard_1
0,0,contronler_56,hard_1
0,0,contronler_57,hard_1
0,0,contronler_58,hard_1
0,0,contronler_59,hard_1
0,0,contronler_60,hard_1
0,0,contronler_61,hard_1
0,0,contronler_61,hard_1
0,0,contronler_62,hard_1
0,0,contronler_63,hard_1
0,0,contronler_64,hard_1
0,0,contronler_65,hard_1
0,0,contronler_66,hard_1
0,0,contronler_67,hard_1
0,0,contronler_68,hard_1
0,0,contronler_69,hard_1
0,0,contronler_69,hard_1
0,0,contronler_70,hard_1
0,0,contronler_71,hard_1
0,0,contronler_72,hard_1
0,0,contronler_72,hard_1
0,0,contronler_73,hard_1
0,0,contronler_74,hard_1
0,0,contronler_75,hard_1
0,0,contronler_76,hard_1
0,0,contronler_77,hard_1
0,0,contronler_78,hard_1
0,0,contronler_79,hard_1
0,0,contronler_79,hard_1
0,0,contronler_80,hard_1
0,0,contronler_80,hard_1
0,0,contronler_81,hard_1
0,0,contronler_82,hard_1
0,0,contronler_83,hard_1
0,0,contronler_84,hard_1
0,0,contronler_85,hard_1
0,0,contronler_86,hard_1
0,0,contronler_86,hard_1
0,0,contronler_87,hard_1
0,0,contronler_88,hard_1
0,0,contronler_89,hard_1
0,0,contronler_90,hard_1
0,0,contronler_91,hard_1
0,0,contronler_92,hard_1
0,0,contronler_93,hard_1
0,0,contronler_94,hard_1
0,0,contronler_95,hard_1
0,0,contronler_96,hard_1
0,0,contronler_96,hard_1
0,0,contronler_97,hard_1
0,0,contronler_97,hard_1
0,0,contronler_98,hard_1
0,0,contronler_98,hard_1
0,0,contronler_99,hard_1
0,0,contronler_100,hard_1
0,0,contronler_101,hard_1
0,0,contronler_102,hard_1
0,0,contronler_103,hard_1
0,0,contronler_104,hard_1
0,0,contronler_105,hard_1
0,0,contronler_106,hard_1
0,0,contronler_107,hard_1
0,0,contronler_108,hard_1
0,0,contronler_109,hard_1
0,0,contronler_110,hard_1
0,0,contronler_111,hard_1
0,0,contronler_112,hard_1
0,0,contronler_113,hard_1
0,0,contronler_114,hard_1
0,0,contronler_115,hard_1
0,0,contronler_116,hard_1
0,0,contronler_117,hard_1
0,0,contronler_118,hard_1
0,0,contronler_119,hard_1
0,0,contronler_120,hard_1
0,0,contronler_121,hard_1
0,0,contronler_121,hard_1
0,0,contronler_122,hard_1
0,0,contronler_123,hard_1
0,0,contronler_124,hard_1
0,0,contronler_124,hard_1
0,0,contronler_125,hard_1
0,0,contronler_126,hard_1
0,0,contronler_127,hard_1
0,0,contronler_128,hard_1
0,0,contronler_129,hard_1
0,0,contronler_130,hard_1
0,0,contronler_131,hard_1
0,0,contronler_131,hard_1
0,0,contronler_132,hard_1
0,0,contronler_133,hard_1
0,0,contronler_134,hard_1
0,0,contronler_134,hard_1
0,0,contronler_135,hard_1
0,0,contronler_135,hard_1
0,0,contronler_136,hard_1
0,0,contronler_136,hard_1
0,0,contronler_137,hard_1
0,0,contronler_138,hard_1
0,0,contronler_139,hard_1
0,0,contronler_140,hard_1
