UP,Down,contronler,hard
2220864,364404,contronler_1,hard_1
2443824,366624,contronler_1,hard_1
3067204,366624,contronler_2,hard_1
3067204,366624,contronler_3,hard_2
2926054,480768,contronler_3,hard_2
3067204,513024,contronler_3,hard_2
2926054,366624,contronler_3,hard_2
3208354,474816,contronler_4,hard_2
3208354,366624,contronler_5,hard_2
2834412,2473056,contronler_6,hard_3
2852640,2319320,contronler_6,hard_3
2834412,2292768,contronler_6,hard_3
2871648,2264570,contronler_6,hard_3
2871648,2209820,contronler_6,hard_3
2739342,2429568,contronler_6,hard_3
2729280,2209820,contronler_6,hard_3
2739342,2221440,contronler_6,hard_3
2778816,2281850,contronler_6,hard_3
2731602,2359776,contronler_6,hard_3
2628792,2359776,contronler_6,hard_3
572578,517056,contronler_7,hard_3
572578,366624,contronler_7,hard_3
667584,500548,contronler_7,hard_3
667584,356488,contronler_7,hard_3
667584,428518,contronler_7,hard_3
667584,572578,contronler_7,hard_3
517056,500548,contronler_7,hard_3
517056,356488,contronler_7,hard_3
517056,428518,contronler_7,hard_3
500548,366624,contronler_7,hard_3
2834412,2112384,contronler_8,hard_3
2690352,2083104,contronler_8,hard_3
2762382,2083104,contronler_8,hard_3
2644272,2221440,contronler_8,hard_3
2690352,1944576,contronler_8,hard_3
2834412,1751808,contronler_9,hard_3
2834412,1571424,contronler_9,hard_3
2762382,1659744,contronler_9,hard_3
2690352,1659744,contronler_9,hard_3
2731602,1585920,contronler_9,hard_3
2834412,2653344,contronler_10,hard_3
3032928,2581490,contronler_10,hard_3
3032928,2653520,contronler_10,hard_3
2762382,2706336,contronler_10,hard_3
3091958,2674080,contronler_11,hard_3
3014016,2834412,contronler_11,hard_3
3051936,2724912,contronler_11,hard_3
3051936,2779662,contronler_11,hard_3
2996888,821664,contronler_12,hard_3
3037208,964032,contronler_12,hard_3
2982458,964032,contronler_12,hard_3
2996888,679296,contronler_12,hard_3
818016,428518,contronler_13,hard_3
818016,500548,contronler_13,hard_3
818016,356488,contronler_13,hard_3
2724912,1391136,contronler_14,hard_3
2982458,1267776,contronler_14,hard_3
2724912,1210752,contronler_14,hard_3
3091958,1492992,contronler_15,hard_3
3091958,1318656,contronler_15,hard_3
3037208,1267776,contronler_15,hard_3
2852640,2576866,contronler_16,hard_3
3032928,2509460,contronler_16,hard_3
2834412,1932096,contronler_17,hard_3
2762382,1944576,contronler_17,hard_3
2762382,1802208,contronler_18,hard_3
2690352,1802208,contronler_18,hard_3
3175296,2209820,contronler_19,hard_3
3091958,2002944,contronler_19,hard_3
3032928,2414390,contronler_20,hard_3
2644272,2429568,contronler_21,hard_3
2762382,2567904,contronler_22,hard_3
3032928,2319320,contronler_23,hard_3
3091958,2338560,contronler_24,hard_3
2690352,2567904,contronler_25,hard_3
2706336,2690352,contronler_26,hard_3
428518,366624,contronler_27,hard_3
366624,356488,contronler_28,hard_3
818016,572578,contronler_29,hard_3
2834412,2833728,contronler_30,hard_3
3091958,3014016,contronler_31,hard_3
3175296,2467366,contronler_32,hard_3
3091958,1667328,contronler_33,hard_3
3091958,983040,contronler_34,hard_3
3091958,647520,contronler_35,hard_3
